pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order
1,1,14,4,0,
1,1,15,4,0,
1,1,22,1,13,
1,1,33,1,1,1
1,1,34,4,0,
1,1,36,4,0,
1,1,38,4,0,
1,1,45,1,1,2
1,1,72,4,0,
1,1,73,1,7,
1,1,74,1,34,
1,1,75,1,27,
1,1,76,1,48,
1,1,76,4,0,
1,1,77,1,20,
1,1,79,1,41,
1,1,92,4,0,
1,1,99,4,0,
1,1,102,4,0,
1,1,104,4,0,
1,1,115,4,0,
1,1,117,4,0,
1,1,156,4,0,
1,1,164,4,0,
1,2,14,4,0,
1,2,15,4,0,
1,2,22,1,13,
1,2,33,1,1,1
1,2,34,4,0,
1,2,36,4,0,
1,2,38,4,0,
1,2,45,1,1,2
1,2,72,4,0,
1,2,73,1,7,
1,2,74,1,34,
1,2,75,1,27,
1,2,76,1,48,
1,2,76,4,0,
1,2,77,1,20,
1,2,79,1,41,
1,2,92,4,0,
1,2,99,4,0,
1,2,102,4,0,
1,2,104,4,0,
1,2,115,4,0,
1,2,117,4,0,
1,2,156,4,0,
1,2,164,4,0,
1,3,13,2,0,
1,3,15,4,0,
1,3,22,1,10,
1,3,29,4,0,
1,3,33,1,1,
1,3,45,1,4,
1,3,73,1,7,
1,3,74,1,32,
1,3,75,1,20,
1,3,76,1,46,
1,3,76,4,0,
1,3,77,1,15,1
1,3,79,1,15,2
1,3,80,2,0,
1,3,92,4,0,
1,3,104,4,0,
1,3,111,4,0,
1,3,113,2,0,
1,3,130,2,0,
1,3,148,4,0,
1,3,156,4,0,
1,3,173,4,0,
1,3,174,4,0,
1,3,182,4,0,
1,3,189,4,0,
1,3,202,4,0,
1,3,203,4,0,
1,3,204,2,0,
1,3,207,4,0,
1,3,210,4,0,
1,3,213,4,0,
1,3,214,4,0,
1,3,216,4,0,
1,3,218,4,0,
1,3,219,2,0,
1,3,230,1,25,
1,3,230,4,0,
1,3,235,1,39,
1,3,237,4,0,
1,3,241,4,0,
1,4,13,2,0,
1,4,15,4,0,
1,4,22,1,10,
1,4,29,4,0,
1,4,33,1,1,
1,4,45,1,4,
1,4,73,1,7,
1,4,74,1,32,
1,4,75,1,20,
1,4,76,1,46,
1,4,76,4,0,
1,4,77,1,15,1
1,4,79,1,15,2
1,4,80,2,0,
1,4,92,4,0,
1,4,104,4,0,
1,4,111,4,0,
1,4,113,2,0,
1,4,130,2,0,
1,4,148,4,0,
1,4,156,4,0,
1,4,173,4,0,
1,4,174,4,0,
1,4,182,4,0,
1,4,189,4,0,
1,4,202,4,0,
1,4,203,4,0,
1,4,207,4,0,
1,4,210,4,0,
1,4,213,4,0,
1,4,214,4,0,
1,4,216,4,0,
1,4,218,4,0,
1,4,219,2,0,
1,4,230,1,25,
1,4,230,4,0,
1,4,235,1,39,
1,4,237,4,0,
1,4,241,4,0,
1,5,15,4,0,
1,5,22,1,10,
1,5,33,1,1,
1,5,45,1,4,
1,5,70,4,0,
1,5,73,1,7,
1,5,74,1,32,
1,5,75,1,20,
1,5,76,1,46,
1,5,76,4,0,
1,5,77,1,15,1
1,5,79,1,15,2
1,5,80,2,0,
1,5,92,4,0,
1,5,104,4,0,
1,5,113,2,0,
1,5,130,2,0,
1,5,148,4,0,
1,5,156,4,0,
1,5,174,2,0,
1,5,182,4,0,
1,5,188,4,0,
1,5,202,4,0,
1,5,204,2,0,
1,5,213,4,0,
1,5,216,4,0,
1,5,218,4,0,
1,5,219,2,0,
1,5,230,1,25,
1,5,235,1,39,
1,5,237,4,0,
1,5,241,4,0,
1,5,249,4,0,
1,5,263,4,0,
1,5,290,4,0,
1,5,320,2,0,
1,5,331,4,0,
1,5,345,2,0,
1,6,14,3,0,
1,6,15,4,0,
1,6,22,1,10,
1,6,33,1,1,
1,6,34,3,0,
1,6,38,3,0,
1,6,45,1,4,
1,6,70,4,0,
1,6,73,1,7,
1,6,74,1,32,
1,6,75,1,20,
1,6,76,1,46,
1,6,76,4,0,
1,6,77,1,15,1
1,6,79,1,15,2
1,6,80,2,0,
1,6,92,4,0,
1,6,102,3,0,
1,6,104,4,0,
1,6,111,3,0,
1,6,113,2,0,
1,6,130,2,0,
1,6,148,4,0,
1,6,156,4,0,
1,6,164,3,0,
1,6,173,3,0,
1,6,174,2,0,
1,6,182,4,0,
1,6,188,4,0,
1,6,189,3,0,
1,6,202,4,0,
1,6,203,3,0,
1,6,204,2,0,
1,6,207,3,0,
1,6,210,3,0,
1,6,213,4,0,
1,6,214,3,0,
1,6,216,4,0,
1,6,218,4,0,
1,6,219,2,0,
1,6,230,1,25,
1,6,235,1,39,
1,6,237,4,0,
1,6,241,4,0,
1,6,249,4,0,
1,6,263,4,0,
1,6,290,4,0,
1,6,320,2,0,
1,6,331,4,0,
1,6,345,2,0,
1,7,14,3,0,
1,7,15,4,0,
1,7,22,1,10,
1,7,33,1,1,
1,7,34,3,0,
1,7,38,3,0,
1,7,45,1,4,
1,7,70,4,0,
1,7,73,1,7,
1,7,74,1,32,
1,7,75,1,20,
1,7,76,1,46,
1,7,76,4,0,
1,7,77,1,15,1
1,7,79,1,15,2
1,7,80,2,0,
1,7,92,4,0,
1,7,102,3,0,
1,7,104,4,0,
1,7,113,2,0,
1,7,130,2,0,
1,7,148,4,0,
1,7,156,4,0,
1,7,164,3,0,
1,7,174,2,0,
1,7,182,4,0,
1,7,188,4,0,
1,7,202,4,0,
1,7,204,2,0,
1,7,213,4,0,
1,7,216,4,0,
1,7,218,4,0,
1,7,219,2,0,
1,7,230,1,25,
1,7,235,1,39,
1,7,237,4,0,
1,7,241,4,0,
1,7,249,4,0,
1,7,263,4,0,
1,7,290,4,0,
1,7,320,2,0,
1,7,331,4,0,
1,7,345,2,0,
1,8,14,4,0,
1,8,15,4,0,
1,8,22,1,9,
1,8,33,1,1,
1,8,36,1,15,
1,8,38,1,27,
1,8,45,1,3,
1,8,70,4,0,
1,8,73,1,7,
1,8,74,1,25,
1,8,75,1,19,
1,8,76,4,0,
1,8,77,1,13,1
1,8,79,1,13,2
1,8,80,2,0,
1,8,92,4,0,
1,8,104,4,0,
1,8,113,2,0,
1,8,130,2,0,
1,8,133,2,0,
1,8,148,4,0,
1,8,156,4,0,
1,8,164,4,0,
1,8,174,2,0,
1,8,182,4,0,
1,8,188,4,0,
1,8,202,4,0,
1,8,203,4,0,
1,8,204,2,0,
1,8,207,4,0,
1,8,213,4,0,
1,8,214,4,0,
1,8,216,4,0,
1,8,218,4,0,
1,8,219,2,0,
1,8,230,1,21,
1,8,235,1,33,
1,8,237,4,0,
1,8,241,4,0,
1,8,249,4,0,
1,8,263,4,0,
1,8,267,2,0,
1,8,275,2,0,
1,8,290,4,0,
1,8,320,2,0,
1,8,331,4,0,
1,8,345,2,0,
1,8,363,4,0,
1,8,388,1,31,
1,8,402,1,37,
1,8,412,4,0,
1,8,437,2,0,
1,8,445,4,0,
1,8,447,4,0,
1,9,14,4,0,
1,9,15,4,0,
1,9,22,1,9,
1,9,33,1,1,
1,9,36,1,15,
1,9,38,1,27,
1,9,45,1,3,
1,9,70,4,0,
1,9,73,1,7,
1,9,74,1,25,
1,9,75,1,19,
1,9,76,4,0,
1,9,77,1,13,1
1,9,79,1,13,2
1,9,80,2,0,
1,9,92,4,0,
1,9,104,4,0,
1,9,113,2,0,
